,EXPERIMENTOS 1...30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Media,Minimo,Maximo,Desviación E
1,212,212,212,217,217,217,219,219,219,224,224,224,224,227,227,227,223,223,223,222,222,222,222,219,219,219,226,226,226,227,221.333333333333,212,227,4.48240493741792
2,209,209,209,215,215,215,217,217,217,220,220,220,220,225,225,225,220,220,220,219,219,219,219,216,216,216,224,224,224,225,218.633333333333,209,225,4.5824502806591
3,206,206,206,213,213,213,214,214,214,217,217,217,217,222,222,222,216,216,216,216,216,216,216,213,213,213,222,222,222,223,215.766666666667,206,223,4.67335317358505
4,203,203,203,210,210,210,211,211,211,215,215,215,215,219,219,219,213,213,213,214,214,214,214,212,212,212,218,218,218,218,213.066666666667,203,219,4.43289687593155
5,201,201,201,208,208,208,208,208,208,212,212,212,212,217,217,217,210,210,210,212,212,212,212,209,209,209,215,215,215,215,210.5,201,217,4.32115884839975
6,198,198,198,206,206,206,206,206,206,209,209,209,209,214,214,214,208,208,208,210,210,210,210,206,206,206,213,213,213,213,208.066666666667,198,214,4.40949862920033
7,196,196,196,204,204,204,203,203,203,206,206,206,206,211,211,211,206,206,206,206,206,206,206,203,203,203,210,210,210,210,205.233333333333,196,211,4.09948132407464
8,194,194,194,201,201,201,201,201,201,203,203,203,203,209,209,209,203,203,203,202,202,202,202,201,201,201,207,207,207,207,202.5,194,209,3.92823554318712
9,191,191,191,199,199,199,198,198,198,201,201,201,201,207,207,207,201,201,201,200,200,200,200,199,199,199,204,204,204,204,200.166666666667,191,207,4.06060411110544
10,188,188,188,195,195,195,195,195,195,199,199,199,199,204,204,204,198,198,198,197,197,197,197,196,196,196,202,202,202,202,197.333333333333,188,204,4.28576901990227
11,187,187,187,193,193,193,194,194,194,196,196,196,196,201,201,201,196,196,196,196,196,196,196,194,194,194,200,200,200,199,195.4,187,201,3.78381307404454
12,184,184,184,190,190,190,190,190,190,194,194,194,194,199,199,199,192,192,192,193,193,193,193,189,189,189,197,197,197,196,192.233333333333,184,199,4.14964338586884
13,182,182,182,188,188,188,188,188,188,191,191,191,191,196,196,196,190,190,190,190,190,190,190,187,187,187,195,195,195,194,189.866666666667,182,196,3.91930089942452
14,179,179,179,185,185,185,185,185,185,189,189,189,189,193,193,193,187,187,187,188,188,188,188,184,184,184,192,192,192,191,187.133333333333,179,193,3.98906551439819
15,176,176,176,184,184,184,182,182,182,186,186,186,186,191,191,191,185,185,185,186,186,186,186,183,183,183,190,190,190,189,185,176,191,4.11892185424527
16,174,174,174,180,180,180,180,180,180,184,184,184,184,188,188,188,182,182,182,184,184,184,184,180,180,180,188,188,188,187,182.5,174,188,4.1251959201122
17,172,172,172,179,179,179,179,179,179,181,181,181,181,185,185,185,180,180,180,182,182,182,182,176,176,176,186,186,186,184,180.233333333333,172,186,3.99726918277219
18,170,170,170,176,176,176,176,176,176,179,179,179,179,183,183,183,178,178,178,178,178,178,178,173,173,173,183,183,183,182,177.566666666667,170,183,3.96261262938667
19,168,168,168,174,174,174,174,174,174,175,175,175,175,180,180,180,176,176,176,176,176,176,176,171,171,171,182,182,182,179,175.266666666667,168,182,3.91225601494033
20,166,166,166,172,172,172,172,172,172,174,174,174,174,178,178,178,174,174,174,174,174,174,174,169,169,169,179,179,179,176,173.266666666667,166,179,3.72256245943138
21,164,164,164,169,169,169,170,170,170,171,171,171,171,174,174,174,172,172,172,171,171,171,171,165,165,165,177,177,177,175,170.533333333333,164,177,3.79412734352058
22,160,160,160,167,167,167,168,168,168,168,168,168,168,171,171,171,169,169,169,169,169,169,169,163,163,163,175,175,175,172,167.966666666667,160,175,4.01276698184366
23,158,158,158,165,165,165,163,163,163,166,166,166,166,169,169,169,167,167,167,167,167,167,167,160,160,160,172,172,172,170,165.466666666667,158,172,4.06612018186051
24,157,157,157,163,163,163,161,161,161,164,164,164,164,168,168,168,163,163,163,165,165,165,165,157,157,157,169,169,169,167,163.233333333333,157,169,3.91886096517442
25,155,155,155,160,160,160,159,159,159,162,162,162,162,166,166,166,161,161,161,163,163,163,163,155,155,155,167,167,167,165,161.133333333333,155,167,3.93685795714205
26,152,152,152,159,159,159,158,158,158,159,159,159,159,163,163,163,158,158,158,161,161,161,161,153,153,153,164,164,164,163,158.8,152,164,3.78198998886328
